Name,YearPublished,GameWeight,AvgRating,MinPlayers,MaxPlayers,BestPlayers,MfgPlaytime,MfgAgeRec,category
Time Agent,1992,3.4583,6.67129,2,6,0,360,12,Strategy
Landlord!,1992,1.51,5.92039,2,6,0,10,10,misc
Big Boss,1994,2.4074,7.10806,2,6,0,90,10,Strategy
Highlanders,1993,2.0556,6.20604,3,5,0,90,12,War
Bagh Chal,1000,2.4211,5.93031,2,2,0,20,8,Abstract
Chase,1985,2.6579,6.81403,2,2,0,45,10,Abstract
The Mob,1993,1.875,6.43502,3,6,0,60,12,misc
Top It,1997,1.8,5.69298,2,4,0,20,10,Abstract
Scrabble,1948,2.0878,6.2753,2,4,2,90,10,Family
The Mole in the Hole,1995,1.2874,6.29486,2,4,0,30,8,misc
Tonga Bonga,1998,1.6818,6.41085,3,4,0,45,10,Family
Anno 1452,1999,2.9375,6.0543,2,4,0,90,12,Strategy
Ponte Vecchio,1996,2.4286,5.8017,3,5,0,90,12,misc
Loopin' Louie,1992,1.0517,6.76431,2,4,4,10,4,Childrens
Damn the Torpedoes!,1995,1.3333,4.93514,2,6,0,120,12,War
Russian Front,1985,3.3085,7.22465,2,2,0,1200,12,War
Block Mania,1987,2.7568,6.5028,2,2,0,180,14,Thematic
Vernissage,1993,2.7368,6.30654,3,5,0,60,12,misc
Waterworks,1972,1.2075,5.5317,2,5,0,30,8,Family
Advance to Boardwalk,1985,1.5507,5.39724,2,4,0,60,8,Family
Breakthru,1965,2.0,5.80947,2,2,0,15,10,Abstract
Jumpin,1964,1.619,5.5323,2,2,0,15,8,Abstract
Circus Flohcati,1998,1.2233,6.62624,2,5,4,15,6,Family
Bargain Hunter,1998,1.875,6.72912,3,4,0,45,10,misc
Quiddler,1998,1.4273,6.07907,1,8,4,30,8,Family
Frank's Zoo,1999,1.5335,6.60839,3,7,4,60,10,Family
Hong Kong,1999,2.1111,5.90256,2,2,0,15,8,Abstract
Twins,1996,1.25,6.25343,3,6,0,30,8,Family
Members Only,1996,2.0,6.61413,3,5,0,60,10,Family
Prairie Railroads,1999,3.0,7.01111,3,5,0,120,12,misc
Fishy,1991,1.25,5.60391,3,6,0,30,10,misc
Merchants of the Middle Ages,1999,3.0132,6.7323,2,4,0,120,10,Strategy
Halunken & Spelunken,1997,1.5238,5.61095,3,4,0,30,10,Family
Hattrick,1995,1.5909,6.4942,4,6,0,30,10,Family
Trumpet,1990,1.45,6.18171,2,6,0,45,9,misc
Inkognito: The Card Game,1997,1.66,5.43012,3,5,0,30,10,Family
Stick 'Em,1993,1.9237,7.04365,3,8,3,60,10,Strategy
Das letzte Paradies,1993,1.8571,5.73892,3,5,0,30,12,Strategy
